t,ref_now_deg,ref_aligned_deg,meas_deg,meas_lag1_deg,err_aligned_deg,u0_deg_s,psi_now_rad,psi_cmd_rad,qp_infeasible
0.410000,-14.792622,-16.541611,-14.638279,-13.736268,-1.903333,-1041.680149,2.361096,2.270192,0
0.415000,-12.748480,-14.792622,-13.736268,-12.037202,-1.056354,-1253.314467,2.270192,2.160820,0
0.420000,-10.449971,-12.748480,-12.037202,-9.936390,-0.711277,-1341.992003,2.160820,2.043709,0
0.425000,-7.942958,-10.449971,-9.936390,-7.839263,-0.513581,-1385.726719,2.043709,1.922782,0
0.430000,-5.277461,-7.942958,-7.839263,-5.343056,-0.103694,-1421.799846,1.922782,1.798706,0
0.435000,-2.506665,-5.277461,-5.343056,-2.471665,0.065595,-1346.039729,1.798706,1.681242,0
0.440000,0.314146,-2.506665,-2.471665,0.000000,-0.035000,-1205.704916,1.681242,1.576025,0
0.445000,3.128689,0.314146,0.000000,2.471665,0.314146,-1171.065022,1.576025,1.473830,0
0.450000,5.880807,3.128689,2.471665,4.557419,0.657025,-1158.374405,1.473830,1.372743,0
0.455000,8.515586,5.880807,4.557419,7.895765,1.323387,-1214.121840,1.372743,1.266791,0
0.460000,10.980456,8.515586,7.895765,10.416028,0.619821,-982.746148,1.266791,1.181030,0
0.465000,13.226237,10.980456,10.416028,12.528808,0.564428,-789.714918,1.181030,1.112114,0
0.470000,15.208119,13.226237,12.528808,13.834853,0.697430,-665.646694,1.112114,1.054025,0
0.475000,16.886559,15.208119,13.834853,15.832387,1.373266,-680.169240,1.054025,0.994670,0
0.480000,18.228066,16.886559,15.832387,16.738759,1.054172,-529.509471,0.994670,0.948461,0
0.485000,19.205874,18.228066,16.738759,18.043412,1.489307,-465.208997,0.948461,0.907864,0
0.490000,19.800473,19.205874,18.043412,18.958183,1.162462,-250.851047,0.907864,0.885973,0
0.495000,20.000000,19.800473,18.958183,nan,0.842290,-35.359617,0.885973,0.882887,0
